Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8
@princessmoltie,@princessmoltie,<[2021-05-20T19:26:29.585Z]>,User,,,,,,,Tue Mar 25 08:59:04 CET 2008,,,,☆ fortnite: princessmoltie ♡ bisexual ☆ i take pics of bands i like ¤,,http://pbs.twimg.com/profile_images/1322630080707862530/ZbKyTKRN_bigger.jpg,198,775,princess li ❄,stockholm,,,
@leraccoonmorice,@leraccoonmorice,,User,,,,,,,Wed Mar 09 18:34:31 CET 2011,,,,"Weirdly obsessed with Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿 and everything royal 👑
Single mother of two cats 🐱",,http://pbs.twimg.com/profile_images/1384813843222831105/vMlALGf7_bigger.jpg,2848,2779,morice 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇨🇵,"Bretagne, France",,,
@straybundles,@straybundles,<[2021-05-20T19:26:29.834Z]>,User,,,,,,,Thu Apr 12 22:09:27 CEST 2012,,,,what will your verse be? 21 she/her,,http://pbs.twimg.com/profile_images/1391017547617742853/lqRxH_3F_bigger.jpg,802,1367,kalinczi 🇮🇸,190802,,,
@jpccampbell,@jpccampbell,<[2021-05-20T19:26:29.968Z]>,User,,,,,,,Sun Sep 25 22:39:57 CEST 2016,,,,CNSp in Child/Adolescent Mental Health @templestreethos. Advocate of young people! Loves music! Networking on the twitter-box! Opinions are my own.,,http://pbs.twimg.com/profile_images/1313384753601499136/97GI1-CH_bigger.png,248,170,John Campbell,"Dublin City, Ireland",,,
@alexsinos,@alexsinos,"<[2021-05-20T19:26:29.977Z, 2021-05-20T19:26:47.594Z, 2021-05-20T19:27:37.680Z, 2021-05-20T19:27:49.685Z, 2021-05-20T19:28:01.310Z]>",User,,,,,,,Wed Jul 15 13:18:55 CEST 2009,,,,Tan elegante como la Cuore. Igual de veraz que La Razón. Tan progre como Intereconomía y un poco menos sano que la MensHealth. Así soy.,,http://pbs.twimg.com/profile_images/1273897730683940864/uKbrPikY_bigger.jpg,2872,5575,Alexsinos,Las Vegas,,,
@k8pack,@k8pack,,User,,,,,,,Sun Dec 27 09:26:28 CET 2009,,,,,,http://pbs.twimg.com/profile_images/1267777987228942337/lTgGTu34_bigger.jpg,593,1213,Diamonds Are Overrated,,,,
@sanxpace,@sanxpace,,User,,,,,,,Sat Feb 15 21:16:15 CET 2014,,,,"soy casi lista y casi guapa, o sea del montón",,http://pbs.twimg.com/profile_images/1392777578201616386/eNkfXxzU_bigger.jpg,865,1177,sandra 🇮🇸🇲🇹🇺🇦,sevilla,,,
@p1kk0l1n4,@p1kk0l1n4,<[2021-05-20T19:26:30.583Z]>,User,,,,,,,Mon Oct 16 17:23:29 CEST 2017,,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,47,9,Nicoletta,,,,
@geopash1,@geopash1,<[2021-05-20T19:26:30.633Z]>,User,,,,,,,Tue Mar 02 07:01:19 CET 2021,,,,"Στα σκουπίδια...... 
Εκεί έχω κάνει τα καλύτερα ταξίδια!!!!
https://youtu.be/G-shHxqhn5c",,http://pbs.twimg.com/profile_images/1395136266673524745/YE7UupOk_bigger.jpg,323,354,𝕾𝖐𝖔𝖗𝖕𝖎𝖔𝖘 ®️🦂,,,,
@nantiapappa,@nantiapappa,<[2021-05-20T19:26:30.633Z]>,User,,,,,,,Sat Sep 25 01:34:51 CEST 2010,,,,,,http://pbs.twimg.com/profile_images/1339684682204626945/TxqjYhuT_bigger.jpg,194,240,NANTIA PPNIK,GREECE,,,
