Source,Target,Type,Kind,Id,Label,timeset,Weight
@time_and_time_,@suigeneriis_,Directed,Retweet,2313,,<[2021-05-20T19:25:23.203Z]>,1
@atflowerleaf,@commonescgirl,Directed,Mention,2314,,<[2021-05-20T19:25:23.204Z]>,1
@atflowerleaf,@commonescgirl,Directed,Retweet,2315,,<[2021-05-20T19:25:23.204Z]>,1
@gsgiannis_,@sergiano_93,Directed,Mention,2316,,<[2021-05-20T19:25:23.205Z]>,1
@gsgiannis_,@sergiano_93,Directed,Retweet,2317,,<[2021-05-20T19:25:23.205Z]>,1
@dazzling_dail,@cristhianblue99,Directed,Mention,2318,,<[2021-05-20T19:25:23.207Z]>,1
@dazzling_dail,@cristhianblue99,Directed,Retweet,2319,,<[2021-05-20T19:25:23.208Z]>,1
@yamiatomicd,@dokterharry,Directed,Mention,2320,,<[2021-05-20T19:25:23.214Z]>,1
@yamiatomicd,@dokterharry,Directed,Retweet,2321,,<[2021-05-20T19:25:23.214Z]>,1
@anxnasoy,@euromovidas,Directed,Mention,2322,,<[2021-05-20T19:25:23.250Z]>,1
@anxnasoy,@euromovidas,Directed,Retweet,2323,,<[2021-05-20T19:25:23.250Z]>,1
@awaayfrom,@_adensike,Directed,Mention,2324,,<[2021-05-20T19:25:23.256Z]>,1
@awaayfrom,@_adensike,Directed,Retweet,2325,,<[2021-05-20T19:25:23.257Z]>,1
@icouldbemorex,@space_oddity05,Directed,Mention,2326,,<[2021-05-20T19:25:23.263Z]>,1
@icouldbemorex,@space_oddity05,Directed,Retweet,2327,,<[2021-05-20T19:25:23.263Z]>,1
@nikoskarras1998,@moomilisa,Directed,Mention,2328,,<[2021-05-20T19:25:23.285Z]>,1
@nikoskarras1998,@moomilisa,Directed,Retweet,2329,,<[2021-05-20T19:25:23.285Z]>,1
@peachy5c,@noiamortaie,Directed,Mention,2330,,<[2021-05-20T19:25:23.314Z]>,1
@peachy5c,@noiamortaie,Directed,Retweet,2331,,<[2021-05-20T19:25:23.314Z]>,1
